pos1	pos2	distance	coupling_strength
3037	23403	20366	0.668295
14408	23403	8995	0.654831
241	23403	23162	0.646511
28882	28883	1	0.524877
28881	28883	2	0.518891
8782	28144	19362	0.368274
14805	26144	11339	0.313219
2480	2558	78	0.312333
1059	25563	24504	0.295888
17858	18060	202	0.284354
11083	26144	15061	0.278193
17747	17858	111	0.271645
18060	28144	10084	0.20934
1440	2891	1451	0.185193
29734	29742	8	0.16730599999999998
13402	13536	134	0.155661
2558	14805	12247	0.153069
3037	26144	23107	0.147041
29700	29734	34	0.137432
23403	28883	5480	0.125922
3037	8782	5745	0.121446
14408	25563	11155	0.116862
2416	2480	64	0.111505
